ngram,freq_ron,freq_google,freq_google_norm,google_div_ron,google_norm_div_ron
saying,0.001982160555004955,7.531005501591372e-07,0.0007842220669901117,0.0003799392275552848,0.39564003279651144
room,0.001982160555004955,2.139580402116e-06,0.00222799752979119,0.0010794183128675222,1.1240247537796555
people,0.001982160555004955,6.875830856523e-06,0.0071599712487760625,0.0034688566671158545,3.612205495007524
name,0.001982160555004955,2.441436269233e-06,0.0025423274449579824,0.0012317045978280487,1.2826041959813024
must,0.001982160555004955,5.542470183675e-06,0.005771510089528166,0.0027961762076640384,2.9117268401669603
looking,0.001982160555004955,1.364135886872e-06,0.0014205081441410357,0.0006882065549269242,0.7166463587191527
leave,0.001982160555004955,1.188882351988e-06,0.0012380123414955427,0.0005997911465779461,0.6245772262845014
gone,0.001982160555004955,8.31830614538466e-07,0.0008662056132891752,0.00041965854503465624,0.437000731904389
gon,0.001982160555004955,6.3271382890141676e-09,6.588604225683379e-06,3.192041266807648e-06,0.0033239508318572654
expect,0.001982160555004955,4.975317866350927e-07,0.0005180920476366773,0.0002510047863574043,0.26137743803270375
coming,0.001982160555004955,9.948496277184672e-07,0.00103596130852495,0.0005019016371839668,0.5226424801508374
brother,0.001982160555004955,6.869247315329455e-07,0.0007153115645919544,0.00034655352705837106,0.3608746843366411
alone,0.001982160555004955,1.059901435168e-06,0.0011037013505269578,0.000534720274042256,0.5568173313408503
actually,0.001982160555004955,1.088704765627e-06,0.0011336949647182942,0.0005492515542588216,0.5719491097003795
years,0.001651800462504129,5.567250505831999e-06,0.0057973144465407,0.003370413456230693,3.5096941659357404
whoa,0.001651800462504129,1.2082973170415537e-08,1.2582296206113545e-05,7.315031957369568e-06,0.0076173221231811425
try,0.001651800462504129,9.89885054033789e-07,0.001030791576228379,0.000599276411712056,0.6240412202486607
true,0.001651800462504129,1.579334446746e-06,0.0016445996806589978,0.0009561290740600286,0.9956406466709575
time,0.001651800462504129,1.2040072829447e-05,0.012537623029255797,0.007289060090947216,7.590276981911461
though,0.001651800462504129,2.519307845886e-06,0.0026234170269396847,0.0015251889698993848,1.5882166681092855
supposed,0.001651800462504129,3.852613344890185e-07,0.0004011820732311295,0.00023323721189965187,0.24287562713412583
sorry,0.001651800462504129,4.0385502161154266e-07,0.00042054413550171485,0.000244493830083628,0.25459741963273824
sir,0.001651800462504129,7.363519271124791e-07,0.0007667813151780025,0.000445787456673895,0.46420940820876283
reckoned,0.001651800462504129,2.613378011013025e-08,2.7213745962475654e-05,1.5821390478672857e-05,0.016475201805682765
