ngram,freq_ron,freq_google,freq_google_norm,google_div_ron
whoa lucky plant,0.0003305785123966,0.0,0.0,0.0
whoa know invisibility,0.0003305785123966,0.0,0.0,0.0
whoa harry never,0.0003305785123966,0.0,0.0,0.0
whoa glad thanks,0.0003305785123966,0.0,0.0,0.0
white moves first,0.0003305785123966,8.23013988514651e-12,0.0004662436988353804,1.4103871889774275
whisper took clicked,0.0003305785123966,0.0,0.0,0.0
whew lucky panic,0.0003305785123966,0.0,0.0,0.0
whew amazing imagine,0.0003305785123966,0.0,0.0,0.0
whatever shed must,0.0003305785123966,0.0,0.0,0.0
werewolves come see,0.0003305785123966,0.0,0.0,0.0
went straight right,0.0003305785123966,4.891220098644149e-13,2.770913474661076e-05,0.08382013260852143
went rigid thought,0.0003305785123966,0.0,0.0,0.0
went caves looking,0.0003305785123966,0.0,0.0,0.0
went bad wasnt,0.0003305785123966,0.0,0.0,0.0
welsh green trained,0.0003305785123966,0.0,0.0,0.0
well yeah ron,0.0003305785123966,0.0,0.0,0.0
well yeah course,0.0003305785123966,0.0,0.0,0.0
well worth try,0.0003305785123966,4.115271341841714e-14,2.3313325883978747e-06,0.007052281079905581
well white moves,0.0003305785123966,0.0,0.0,0.0
well welcome prat,0.0003305785123966,0.0,0.0,0.0
well us neville,0.0003305785123966,0.0,0.0,0.0
well twice shrieking,0.0003305785123966,0.0,0.0,0.0
well true well,0.0003305785123966,0.0,0.0,0.0
well thanks always,0.0003305785123966,0.0,0.0,0.0
well sort went,0.0003305785123966,0.0,0.0,0.0
well running hands,0.0003305785123966,0.0,0.0,0.0
well poison trick,0.0003305785123966,0.0,0.0,0.0
well let see,0.0003305785123966,0.0,0.0,0.0
well let say,0.0003305785123966,0.0,0.0,0.0
well know might,0.0003305785123966,1.0632633535197683e-13,6.023467956794546e-06,0.018220990569308693
well know let,0.0003305785123966,1.2095535342165104e-13,6.852212983041824e-06,0.020727944273707426
well hide book,0.0003305785123966,0.0,0.0,0.0
well hermione girl,0.0003305785123966,0.0,0.0,0.0
well harry shall,0.0003305785123966,0.0,0.0,0.0
well harry got,0.0003305785123966,0.0,0.0,0.0
well got one,0.0003305785123966,5.517276433283969e-13,3.1255791610470294e-05,0.09454876962169959
well got nice,0.0003305785123966,0.0,0.0,0.0
well going expel,0.0003305785123966,0.0,0.0,0.0
well fell broom,0.0003305785123966,0.0,0.0,0.0
well expect hang,0.0003305785123966,0.0,0.0,0.0
well done malfoy,0.0003305785123966,0.0,0.0,0.0
well dad tell,0.0003305785123966,0.0,0.0,0.0
well completely point,0.0003305785123966,0.0,0.0,0.0
well alright lace,0.0003305785123966,0.0,0.0,0.0
welcome prat take,0.0003305785123966,0.0,0.0,0.0
welcome home honestly,0.0003305785123966,0.0,0.0,0.0
weird though like,0.0003305785123966,0.0,0.0,0.0
weeks back tell,0.0003305785123966,0.0,0.0,0.0
week said ginny,0.0003305785123966,0.0,0.0,0.0
wedding bill fleur,0.0003305785123966,0.0,0.0,0.0
weasley whoaa wicked,0.0003305785123966,0.0,0.0,0.0
weasley true mean,0.0003305785123966,0.0,0.0,0.0
weasley ten times,0.0003305785123966,0.0,0.0,0.0
weasley sir dead,0.0003305785123966,0.0,0.0,0.0
weasley piss arthur,0.0003305785123966,0.0,0.0,0.0
weasley lockhart memory,0.0003305785123966,0.0,0.0,0.0
weasley harry potter,0.0003305785123966,0.0,0.0,0.0
weasley barney weasley,0.0003305785123966,0.0,0.0,0.0
weasley always polite,0.0003305785123966,0.0,0.0,0.0
weasels never told,0.0003305785123966,0.0,0.0,0.0
wear beautiful moon,0.0003305785123966,0.0,0.0,0.0
weapon know department,0.0003305785123966,0.0,0.0,0.0
weaker maybe dying,0.0003305785123966,0.0,0.0,0.0
weak tea yesterday,0.0003305785123966,0.0,0.0,0.0
way ron weasley,0.0003305785123966,0.0,0.0,0.0
way quidditch practice,0.0003305785123966,0.0,0.0,0.0
way pitiful fred,0.0003305785123966,0.0,0.0,0.0
way old yeah,0.0003305785123966,0.0,0.0,0.0
way jeans favorite,0.0003305785123966,0.0,0.0,0.0
way imperio possible,0.0003305785123966,0.0,0.0,0.0
way bloodthirsty beast,0.0003305785123966,0.0,0.0,0.0
way back lead,0.0003305785123966,0.0,0.0,0.0
way across room,0.0003305785123966,2.1904461957615737e-13,1.2409044690175195e-05,0.03753736018779066
water tea nooooocococoo,0.0003305785123966,0.0,0.0,0.0
wasnt slytherin harry,0.0003305785123966,0.0,0.0,0.0
warning hermione keep,0.0003305785123966,0.0,0.0,0.0
warned dragons oh,0.0003305785123966,0.0,0.0,0.0
warm like first,0.0003305785123966,0.0,0.0,0.0
wants spend day,0.0003305785123966,0.0,0.0,0.0
wants snog lips,0.0003305785123966,0.0,0.0,0.0
wanted posters huh,0.0003305785123966,0.0,0.0,0.0
wanted mate really,0.0003305785123966,0.0,0.0,0.0
wanted come back,0.0003305785123966,3.789504400228229e-13,2.1467831324520758e-05,0.0649401897566938
want tell mean,0.0003305785123966,0.0,0.0,0.0
want tap dance,0.0003305785123966,0.0,0.0,0.0
want take potions,0.0003305785123966,0.0,0.0,0.0
want stop snape,0.0003305785123966,0.0,0.0,0.0
want see ahem,0.0003305785123966,0.0,0.0,0.0
want pack got,0.0003305785123966,0.0,0.0,0.0
want followed one,0.0003305785123966,0.0,0.0,0.0
wand yeah imagine,0.0003305785123966,0.0,0.0,0.0
wand world could,0.0003305785123966,0.0,0.0,0.0
wand second thought,0.0003305785123966,0.0,0.0,0.0
wand right well,0.0003305785123966,0.0,0.0,0.0
wand powerful bloody,0.0003305785123966,0.0,0.0,0.0
wand course destroyed,0.0003305785123966,0.0,0.0,0.0
wand cloak supposed,0.0003305785123966,0.0,0.0,0.0
wand backfired hey,0.0003305785123966,0.0,0.0,0.0
wan na tap,0.0003305785123966,0.0,0.0,0.0
waltz ministry magic,0.0003305785123966,0.0,0.0,0.0
walking know like,0.0003305785123966,0.0,0.0,0.0
walk help sort,0.0003305785123966,0.0,0.0,0.0
walk front door,0.0003305785123966,0.0,0.0,0.0
wake happy christmas,0.0003305785123966,0.0,0.0,0.0
wake come harry,0.0003305785123966,0.0,0.0,0.0
wait one order,0.0003305785123966,0.0,0.0,0.0
wait minute sleeping,0.0003305785123966,0.0,0.0,0.0
vow understand oh,0.0003305785123966,0.0,0.0,0.0
